!SIL sil
<UNK> spn
żal	Z a l
ponosi	p o n o sj i
paul	p a u l
sądzić	s oc5 dzj i tsj
profesjonalnych	p r o f e s j o n a l n i2 h
zachowań	z a h o v a n~
wartości	v a r t o sj tsj i
kostiumach	k o s t j u m a h
zagadnienie	z a g a d n i e n i e
udają	u d a j oc5
futurystyczna	f u t u r i2 s t i2 tS n a
mówienia	m u v i e n i a
wstydu	v s t i2 d u
annie	a n n i e
rozbiję	r o z b i j e
patrzcie	p a t S tsj e
wytarte	v i2 t a r t e
zielonego	zj e l o n e g o
niespokojny	n i e s p o k o j n i2
pozostawić	p o z o s t a v i tsj
progi	p r o g i
porażony	p o r a Z o n i2
byłoby	b i2 w o b i2
urodziło	u r o dzj i w o
obejmuje	o b e j m u j e
zachowywać	z a h o v i2 v a tsj
i	i
stuleci	s t u l e tsj i
łaszyńskich	w a S i2 n~ s k i h
przekonana	p S e k o n a n a
krewniak	k r e v n i a k
piękniejszy	p i eo5 k n i e j S i2
muszę	m u S e
wybrzeżach	v i2 b Z e Z a h
odpadłaś	o d p a d w a sj
dłońmi	d w o n~ m i
barwnika	b a r v n i k a
długa	d w u g a
przeszłości	p S e S w o sj tsj i
zmianie	z m i a n i e
powiada	p o v i a d a
zabijał	z a b i j a w
wrażliwość	v r a Z l j v o sj tsj
brałam	b r a w a m
inne	i n n e
kolacje	k o l a c j e
razem	r a z e m
znaczącym	z n a tS oc5 c i2 m
szanowany	S a n o v a n i2
prozaiczny	p r o z a i tS n i2
obdarzonych	o b d a Z o n i2 h
przemianę	p S e m i a n e
życzenie	Z i2 tS e n i e
wykazał	v i2 k a z a w
procesu	p r o c e s u
wytropiła	v i2 t r o p i w a
oglądałaś	o g l oc5 d a w a sj
pracownicy	p r a c o v n i c i2
tworzeniem	t f o Z e n i e m
przekazach	p S e k a z a h
zdarza	z d a Z a
nas	n a s
wydaje	v i2 d a j e
śmierć	sj m i e r tsj
należą	n a l e Z oc5
krzątał	k S oc5 t a w
nauki	n a u k i
przystąpimy	p S i2 s t oc5 p i m i2
czele	tS e l e
poszukiwacz	p o S u k i v a tS
oni	o n i
ekspresji	e k s p r e s j i
poczuć	p o tS u tsj
kimś-	k i m sj e
zabrzmi	z a b Z m i
utworzy	u t f o Z i2
przedostatni	p S e d o s t a t n i
państwowego	p a n~ s t f o v e g o
3	S i2
swobodna	s v o b o d n a
polski	p o l s k i
przekroczenie	p S e k r o tS e n i e
komtur	k o m t u r
aparat	a p a r a t
określonego	o k r e sj l o n e g o
wolno	v o l n o
ziemia	zj e m i a
wietnamie	v i e t n a m i e
równi	r u v n i
punktem	p u n k t e m
umyciu	u m i2 tsj u
ramionami	r a m i o n a m i
górnej	g u r n e j
gdera:-	g d e r a e
szanowani	S a n o v a n i
specjalnego	s p e c j a l n e g o
gomułki	g o m u w k i
wysiadają	v i2 tsj a d a j oc5
70	sj t
ckm	c k m
bawary	b a v a r i2
przeżywałeś	p S e Z i2 v a w e sj
spaść	s p a sj tsj
teksty	t e k s t i2
chaosie	h a o sj e
mór	m u r
ciało	tsj a w o
potwierdzi	p o t f i e r dzj i
królewic	k r u l e v i c
możliwościach	m o Z l j v o sj tsj a h
potrafi	p o t r a f i
działy	dzj a w i2
żertwę	Z e r t f e
owszem	o v S e m
była	b i2 w a
młodzieńca	m w o dzj e n~ c a
itd	i t d
podziemnego	p o dzj e m n e g o
stara	s t a r a
merkury	m e r k u r i2
szefową	S e f o v oc5
zaś	z a sj
młodego	m w o d e g o
drzwiach	d Z v i a h
nagięty	n a g i eo5 t i2
przyjaciołom	p S i2 j a tsj o w o m
podłoża	p o d w o Z a
kuchennej	k u h e n n e j
powstrzymać	p o v s t S i2 m a tsj
przywróceniu	p S i2 v r u c e n i u
segmentach	s e g m e n t a h
otworzyło	o t f o Z i2 w o
budzi	b u dzj i
kołatał	k o w a t a w
szanse	S a n s e
sześciuset	S e sj tsj u s e t
miliardów	m i l j a r d u v
mądrości	m oc5 d r o sj tsj i
każdą	k a Z d oc5
modułu	m o d u w u
niewzruszalną	n i e v z r u S a l n oc5
niosą	n i o s oc5
inny	i n n i2
substancji	s u b s t a n c j i
pięciu	p i eo5 tsj u
przemieniające	p S e m i e n i a j oc5 c e
niektórych	n i e k t u r i2 h
janusza	j a n u S a
loki	l o k i
sami	s a m i
zmielonych	z m i e l o n i2 h
musimy	m u sj i m i2
niedoczytanej	n i e d o tS i2 t a n e j
gdy	g d i2
najbardziej	n a j b a r dzj e j
powrócił	p o v r u tsj i w
krzyż	k S i2 S
felietony	f e l j e t o n i2
żeby	Z e b i2
opromienione	o p r o m i e n i o n e
łabą	w a b oc5
chodzi	h o dzj i
dusza	d u S a
fair	f a i r
wiedząc	v i e dz oc5 c
stworzeniu	s t f o Z e n i u
wstąpić	v s t oc5 p i tsj
uniknąłby	u n i k n oc5 w b i2
sądzą	s oc5 dz oc5
upodobał	u p o d o b a w
nieba	n i e b a
wywołaną	v i2 v o w a n oc5
rozpalania	r o z p a l a n i a
jezu	j e z u
zdobywał	z d o b i2 v a w
odbywa	o d b i2 v a
skończy	s k o n~ tS i2
samochodowe	s a m o h o d o v e
integralny	i n t e g r a l n i2
faulkner	f a u l k n e r
zapisał	z a p i s a w
niejeden	n i e j e d e n
oglądali	o g l oc5 d a l j
paru	p a r u
ludziom	l u dzj o m
prawo	p r a v o
fantastycznie	f a n t a s t i2 tS n i e
wydarzenia	v i2 d a Z e n i a
skandalu	s k a n d a l u
true	t r u e
obowiązkami	o b o v i oc5 z k a m i
odrzuceniu	o d Z u c e n i u
powieściowy	p o v i e sj tsj o v i2
nieprzyjaciel	n i e p S i2 j a tsj e l
mieszkanka	m i e S k a n k a
swą	s v oc5
zamierzony	z a m i e Z o n i2
cnotę	c n o t e
możemy	m o Z e m i2
nieładne	n i e w a d n e
leśne	l e sj n e
syn	s i2 n
boskich	b o s k i h
teutońskiego	t e u t o n~ s k i e g o
kilograma	k i l o g r a m a
niebezpiecznych	n i e b e z p i e tS n i2 h
pory	p o r i2
poręki	p o r eo5 k i
władzę	v w a dz e
kobieta	k o b i e t a
przychodzimy	p S i2 h o dzj i m i2
lubrykantem	l u b r i2 k a n t e m
bieliznę	b i e l j z n e
zwykli	z v i2 k l j
powrotem	p o v r o t e m
popełnić	p o p e w n i tsj
nadzieja	n a dzj e j a
celebrując	c e l e b r u j oc5 c
borami	b o r a m i
podaje	p o d a j e
sobie	s o b i e
informowania	i n f o r m o v a n i a
odwiecznych	o d v i e tS n i2 h
owej	o v e j
szanowaną	S a n o v a n oc5
gęstość	g eo5 s t o sj tsj
część	tS eo5 sj tsj
poszukiwaniu	p o S u k i v a n i u
poematu	p o e m a t u
chwycił	h v i2 tsj i w
ciotka	tsj o t k a
steków	s t e k u v
środowisku	sj r o d o v i s k u
krzywoustego	k S i2 v o u s t e g o
strzały	s t S a w i2
testamencie	t e s t a m e n tsj e
uzależnionych	u z a l e Z n i o n i2 h
obraża	o b r a Z a
wyjścia	v i2 j sj tsj a
potem	p o t e m
procent	p r o c e n t
dobra	d o b r a
sama	s a m a
studentki	s t u d e n t k i
doskonała	d o s k o n a w a
bardzo	b a r dz o
musisz	m u sj i S
moc	m o c
opowiadania	o p o v i a d a n i a
suwak	s u v a k
ziemi	zj e m i
it	i t
bryki	b r i2 k i
syntezy	s i2 n t e z i2
godność	g o d n o sj tsj
minimum	m i n i m u m
podniety	p o d n i e t i2
analityk	a n a l j t i2 k
mascara	m a s c a r a
potęgą	p o t eo5 g oc5
firmy	f i r m i2
zasobów	z a s o b u v
stworzoną	s t f o Z o n oc5
przekracza	p S e k r a tS a
wczołgiwanie	v tS o w g i v a n i e
przekonałaś	p S e k o n a w a sj
centrum	c e n t r u m
krył	k r i2 w
umysł	u m i2 s w
uważasz	u v a Z a S
chorobie	h o r o b i e
urzędnik	u Z eo5 d n i k
katedrę	k a t e d r e
wszelkie	v S e l k i e
wymasuj	v i2 m a s u j
strategię	s t r a t e g i e
osoby	o s o b i2
nazywany	n a z i2 v a n i2
nowemu	n o v e m u
ja	j a
popatrzeć	p o p a t S e tsj
praca	p r a c a
zapisywałem	z a p i s i2 v a w e m
dochodowego	d o h o d o v e g o
lekcji	l e k c j i
miałoby	m i a w o b i2
wyprodukował	v i2 p r o d u k o v a w
pseudonimem	p s e u d o n i m e m
strasznie	s t r a S n i e
romanse	r o m a n s e
głębia	g w eo5 b i a
eseju	e s e j u
lekarzy	l e k a Z i2
wnet	v n e t
weselą	v e s e l oc5
platonie	p l a t o n i e
drogą	d r o g oc5
wyobrazić	v i2 o b r a zj i tsj
wrzask	v Z a s k
był	b i2 w
urządzenia	u Z oc5 dz e n i a
chojnickiej	h o j n i c k i e j
30	o
william	v i l l j a m
skrwawiony	s k r v a v i o n i2
pustki	p u s t k i
dwunastu	d v u n a s t u
pewnością	p e v n o sj tsj oc5
fiołkami	f i o w k a m i
sceptyk	s c e p t i2 k
pokazującą	p o k a z u j oc5 c oc5
ceremonii	c e r e m o n i i
napastnicy	n a p a s t n i c i2
bujasz	b u j a S
przyjmują	p S i2 j m u j oc5
prawnych	p r a v n i2 h
frontpage	f r o n t p a g e
wypraszając	v i2 p r a S a j oc5 c
naszemu	n a S e m u
swej	s v e j
antyku	a n t i2 k u
ambitni	a m b i t n i
bruyere	b r u i2 e r e
lovers	l o f e r s
żwawo	Z v a v o
zła	z w a
grudka	g r u t k a
kaca	k a c a
tworzywa	t f o Z i2 v a
pieszczotą	p i e S tS o t oc5
wyścigu	v i2 sj tsj i g u
zostało	z o s t a w o
bezkarnie	b e z k a r n i e
religijną	r e l j g i j n oc5
supermocny	s u p e r m o c n i2
opatom	o p a t o m
bólu	b u l u
rozłąki	r o z w oc5 k i
lubiłem	l u b i w e m
aplikacji	a p l j k a c j i
masaże	m a s a Z e
przestrogi	p S e s t r o g i
rycerzom-	r i2 c e Z o m e
dotykają	d o t i2 k a j oc5
czynów	tS i2 n u v
aromatycznych	a r o m a t i2 tS n i2 h
piraci	p i r a tsj i
sieci	sj e tsj i
obodryci	o b o d r i2 tsj i
wetknąć	v e t k n oc5 tsj
u	u
stanie	s t a n i e
ich	i h
punktualności	p u n k t u a l n o sj tsj i
odpadł	o d p a d w
układzie	u k w a dzj e
dziwne	dzj i v n e
gburstwa	g b u r s t f a
jądrze	j oc5 d Z e
zrozumieniu	z r o z u m i e n i u
przestrzeni	p S e s t S e n i
wstąpi	v s t oc5 p i
swoje	s v o j e
orfeusz	o r f e u S
przygotowanie	p S i2 g o t o v a n i e
działo	dzj a w o
francuskiego	f r a n c u s k i e g o
pana	p a n a
stosowanie	s t o s o v a n i e
znajduje	z n a j d u j e
shu-king	s h u k i n g
kamieni	k a m i e n i
poszła	p o S w a
menu	m e n u
przynosi	p S i2 n o sj i
posłał	p o s w a w
wielu	v i e l u
warto	v a r t o
autorytet	a u t o r i2 t e t
niemal	n i e m a l
największy	n a j v i eo5 k S i2
30-letnia	o l e t n i a
charakterystyczna	h a r a k t e r i2 s t i2 tS n a
opłakania	o p w a k a n i a
słyszałem	s w i2 S a w e m
odrealniony	o d r e a l n i o n i2
najlepszej	n a j l e p S e j
zostaniemy	z o s t a n i e m i2
wieki	v i e k i
smaczna	s m a tS n a
lekceważyć	l e k c e v a Z i2 tsj
odrazy	o d r a z i2
takie	t a k i e
latać	l a t a tsj
coś	c o sj
mistrza	m i s t S a
wieków	v i e k u v
ukazującego	u k a z u j oc5 c e g o
ciężar	tsj eo5 Z a r
ojca	o j c a
lusterka	l u s t e r k a
literowe	l j t e r o v e
kupić	k u p i tsj
zapytam	z a p i2 t a m
mój	m u j
będziesz	b eo5 dzj e S
opat	o p a t
pięknego	p i eo5 k n e g o
obserwatora	o b s e r v a t o r a
pomińmy	p o m i n~ m i2
możliwe	m o Z l j v e
przyznać	p S i2 z n a tsj
następujących	n a s t eo5 p u j oc5 c i2 h
mama	m a m a
kształtów	k S t a w t u v
przyjmuję	p S i2 j m u j e
pejzaż	p e j z a S
rzuceniu	Z u c e n i u
mocami	m o c a m i
on	o n
wiatrem	v i a t r e m
znanych	z n a n i2 h
unosisz	u n o sj i S
cat	c a t
umieli	u m i e l j
puste	p u s t e
obciążeniem	o b tsj oc5 Z e n i e m
rodzice	r o dzj i c e
wskazać	v s k a z a tsj
uciekł	u tsj e k w
czyn	tS i2 n
temat	t e m a t
materialność	m a t e r j a l n o sj tsj
obiektów	o b i e k t u v
księstwa	k sj eo5 s t f a
adrenaliny	a d r e n a l j n i2
and	a n d
sade	s a d e
otrucia	o t r u tsj a
taki	t a k i
środka	sj r o t k a
medycyna	m e d i2 c i2 n a
konflikt	k o n f l j k t
uczył	u tS i2 w
przeszywał	p S e S i2 v a w
pozwala	p o z v a l a
spoczywające	s p o tS i2 v a j oc5 c e
ruszył	r u S i2 w
z	z
produktów	p r o d u k t u v
zleciało	z l e tsj a w o
najszybciej	n a j S i2 b tsj e j
aktorska	a k t o r s k a
ot	o t
antycznej	a n t i2 tS n e j
fabryką	f a b r i2 k oc5
skarpety	s k a r p e t i2
wałeczki	v a w e tS k i
naruszających	n a r u S a j oc5 c i2 h
radzić	r a dzj i tsj
znak	z n a k
mieli	m i e l j
natury	n a t u r i2
zostaną	z o s t a n oc5
warszawscy	v a r S a v s c i2
całą	c a w oc5
enough	e n o u g h
mózgu	m u z g u
wypełnia	v i2 p e w n i a
dopingowała	d o p i n g o v a w a
marzyła	m a Z i2 w a
hermes	h e r m e s
chromosom	h r o m o s o m
choć	h o tsj
zakonem	z a k o n e m
zamknął	z a m k n oc5 w
dorzucić	d o Z u tsj i tsj
biegali	b i e g a l j
ciekawe	tsj e k a v e
urodził	u r o dzj i w
odstępujesz	o d s t eo5 p u j e S
postaciach	p o s t a tsj a h
śląska	sj l oc5 s k a
poganami	p o g a n a m i
powodzenia	p o v o dz e n i a
członek	tS w o n e k
nauczyciel	n a u tS i2 tsj e l
zewnętrznej	z e v n eo5 t S n e j
mu	m u
naświetlonej	n a sj v i e t l o n e j
kujawy	k u j a v i2
warstwą	v a r s t f oc5
pluta	p l u t a
ów	u v
nastolatki	n a s t o l a t k i
powątpiewać	p o v oc5 t p i e v a tsj
znacznie	z n a tS n i e
drugiej	d r u g i e j
układ	u k w a d
pociągnęła	p o tsj oc5 g n eo5 w a
kompletnej	k o m p l e t n e j
względu	v z g l eo5 d u
poszukać	p o S u k a tsj
pokój	p o k u j
uchodzą	u h o dz oc5
eklektyczną	e k l e k t i2 tS n oc5
czytelników	tS i2 t e l n i k u v
krótkie	k r u t k i e
czyli	tS i2 l j
pozostaje	p o z o s t a j e
politykiem	p o l j t i2 k i e m
zachwyt	z a h v i2 t
gronostajami	g r o n o s t a j a m i
zamieszkałych	z a m i e S k a w i2 h
wierzysz	v i e Z i2 S
wyznawców-	v i2 z n a v c u v
odpowiedzialnego	o d p o v i e dzj a l n e g o
tłumaczy	t w u m a tS i2
jezusa	j e z u s a
ściany	sj tsj a n i2
niekłamaną	n i e k w a m a n oc5
dotrzeć	d o t S e tsj
ćwiczy	tsj v i tS i2
napełnia	n a p e w n i a
upierzone	u p i e Z o n e
szmat	S m a t
stąd	s t oc5 d
izraela	i z r a e l a
łodzie	w o dzj e
głosów	g w o s u v
trąbce	t r oc5 b c e
skoro	s k o r o
zdjął	z d j oc5 w
mimo	m i m o
to	t o
gra	g r a
widowiska	v i d o v i s k a
biodra	b i o d r a
poznania	p o z n a n i a
wiarygodna	v i a r i2 g o d n a
pięć	p i eo5 tsj
akwinu-	a k f i n u
cesarski-	c e s a r s k i e
poprzez	p o p S e z
daleki	d a l e k i
testującej	t e s t u j oc5 c e j
zmysłach	z m i2 s w a h
awantury	a v a n t u r i2
czoło	tS o w o
fryzjerem	f r i2 z j e r e m
tulum	t u l u m
tej	t e j
krainy	k r a i n i2
camus	c a m u s
podczas	p o d tS a s
sprzyjający	s p S i2 j a j oc5 c i2
diana	d j a n a
uciekał	u tsj e k a w
boże	b o Z e
budowa	b u d o v a
wysokie	v i2 s o k i e
kąśliwe	k oc5 sj l j v e
trzpieniach	t S p i e n i a h
piłki	p i w k i
marce	m a r c e
studiujesz	s t u d j u j e S
dokumentów	d o k u m e n t u v
ogarnia	o g a r n i a
gotów	g o t u v
niebiosa	n i e b i o s a
różu	r u Z u
pollard	p o l l a r d
oparzenia	o p a Z e n i a
mordercy	m o r d e r c i2
zwane	z v a n e
zwariowała	z v a r j o v a w a
dotychczas	d o t i2 h tS a s
amfetaminę	a m f e t a m i n e
bije	b i j e
przemieszcza	p S e m i e S tS a
1987	v i eo5 t sj oc5 e
uzależnienia	u z a l e Z n i e n i a
zatoka	z a t o k a
aktorskiego	a k t o r s k i e g o
szlachetnych	S l a h e t n i2 h
którzy	k t u Z i2
mężowi	m eo5 Z o v i
umieścimy	u m i e sj tsj i m i2
ziemią	zj e m i oc5
sytuacją	s i2 t u a c j oc5
doniesienia	d o n i e sj e n i a
mordercami	m o r d e r c a m i
temu	t e m u
cierpienia	tsj e r p i e n i a
maską	m a s k oc5
siebie	sj e b i e
opowieść	o p o v i e sj tsj
nieudana	n i e u d a n a
bez	b e z
niczego	n i tS e g o
krwawego	k r v a v e g o
pracą	p r a c oc5
ręki	r eo5 k i
dwa-	d v a e
przyjacielem	p S i2 j a tsj e l e m
poły	p o w i2
czajki	tS a j k i
nadmiernym	n a d m i e r n i2 m
ludu	l u d u
lasek	l a s e k
alkoholu	a l k o h o l u
dziwem	dzj i v e m
talenty	t a l e n t i2
gorzej	g o Z e j
wasza	v a S a
aleksy	a l e k s i2
zasięgiem	z a sj eo5 g i e m
rzymskiej	Z i2 m s k i e j
zgiełku	z g i e w k u
znaczy	z n a tS i2
chodzenia	h o dz e n i a
loży	l o Z i2
stróża	s t r u Z a
przyjmowali	p S i2 j m o v a l j
zapraszam	z a p r a S a m
prostak	p r o s t a k
arcydzieło	a r c i2 dzj e w o
trwania	t r v a n i a
gumy	g u m i2
dół-	d u w e
komputery	k o m p u t e r i2
skazani-	s k a z a n i e
rzymska	Z i2 m s k a
pomaga	p o m a g a
tajemnicy	t a j e m n i c i2
nadwagę	n a d v a g e
szalem	S a l e m
ambicji	a m b i c j i
poruszasz	p o r u S a S
mogą	m o g oc5
klasyków	k l a s i2 k u v
przesławny	p S e s w a v n i2
rany	r a n i2
dział	dzj a w
odrestaurowane	o d r e s t a u r o v a n e
niektóre	n i e k t u r e
drogi	d r o g i
wykorzystujesz	v i2 k o Z i2 s t u j e S
zaczyn	z a tS i2 n
sprzedaż	s p S e d a S
postawie	p o s t a v i e
internetowym	i n t e r n e t o v i2 m
chwilce	h v i l c e
bardziej	b a r dzj e j
przytyłam	p S i2 t i2 w a m
216	d o S e s
lub	l u b
łodzią	w o dzj oc5
spadkobiercy	s p a t k o b i e r c i2
zabawne	z a b a v n e
zakonnika	z a k o n n i k a
anna	a n n a
interfejsu	i n t e r f e j s u
muszkę	m u S k e
specjalistów	s p e c j a l j s t u v
pokornym	p o k o r n i2 m
absalom	a b s a l o m
orfeusza	o r f e u S a
wybór	v i2 b u r
lotnictwa	l o t n i c t f a
zdemoralizowanego	z d e m o r a l j z o v a n e g o
wiarygodnej	v i a r i2 g o d n e j
zalegał	z a l e g a w
zestawów	z e s t a v u v
głośnika	g w o sj n i k a
przyjściem	p S i2 j sj tsj e m
wylewali	v i2 l e v a l j
widziała	v i dzj a w a
nowe	n o v e
apostolstwa	a p o s t o l s t f a
osjan	o s j a n
szesnastolatek	S e s n a s t o l a t e k
postrzegany	p o s t S e g a n i2
wiersze	v i e r S e
wyniku	v i2 n i k u
chwili	h v i l j
według	v e d w u g
potężnego	p o t eo5 Z n e g o
alkohol	a l k o h o l
umarł	u m a r w
chrystus	h r i2 s t u s
baśniach	b a sj n i a h
zdecydowanych	z d e c i2 d o v a n i2 h
tymi	t i2 m i
wyładniała	v i2 w a d n i a w a
nowy	n o v i2
lęków	l eo5 k u v
widać	v i d a tsj
spopielałych	s p o p i e l a w i2 h
napisał	n a p i s a w
przykłady	p S i2 k w a d i2
18	s t e
teatrze	t e a t S e
wyżej	v i2 Z e j
jadowitego	j a d o v i t e g o
aktorki	a k t o r k i
formosus	f o r m o s u s
napotkanego	n a p o t k a n e g o
nocy	n o c i2
botanik	b o t a n i k
zadbać	z a d b a tsj
dobroczynne	d o b r o tS i2 n n e
okresie	o k r e sj e
wybacza	v i2 b a tS a
dekoracja	d e k o r a c j a
równolegle	r u v n o l e g l e
ucho	u h o
procesy	p r o c e s i2
1930)-	v i eo5 t o e
rybka	r i2 b k a
styl	s t i2 l
zajęcia	z a j eo5 tsj a
oparty	o p a r t i2
odwagę	o d v a g e
dołącz	d o w oc5 tS
płeć	p w e tsj
wieprz	v i e p S
wy	v i2
nieustannie	n i e u s t a n n i e
sekwencję	s e k f e n c j e
postęp	p o s t eo5 p
wykryć	v i2 k r i2 tsj
zbudowałem	z b u d o v a w e m
warianowa	v a r j a n o v a
pochyla	p o h i2 l a
podrywał	p o d r i2 v a w
twórcza	t f u r tS a
uczeńców	u tS e n~ c u v
ducha	d u h a
przytoczyć	p S i2 t o tS i2 tsj
zagarnąć	z a g a r n oc5 tsj
najtrudniejszych	n a j t r u d n i e j S i2 h
modlitwie	m o d l j t f i e
larry	l a r r i2
marcel	m a r c e l
przeciwnika	p S e tsj i v n i k a
wojennik	v o j e n n i k
miejscu	m i e j s c u
rację	r a c j e
nieładzie	n i e w a dzj e
henryka	h e n r i2 k a
przerywamy	p S e r i2 v a m i2
niewielka	n i e v i e l k a
chcieli	h tsj e l j
tercjami	t e r c j a m i
głębi	g w eo5 b i
chodziłem	h o dzj i w e m
zaprząta	z a p S oc5 t a
pszczoły	p S tS o w i2
magiczna	m a g i tS n a
gazety	g a z e t i2
pokaż	p o k a S
narodzin	n a r o dzj i n
jonatana	j o n a t a n a
końców	k o n~ c u v
burdel	b u r d e l
pazura	p a z u r a
program	p r o g r a m
lepiej	l e p i e j
ramieniu	r a m i e n i u
rock	r o c k
powietrze	p o v i e t S e
poniekąd	p o n i e k oc5 d
widywać	v i d i2 v a tsj
podobałaś	p o d o b a w a sj
dwóch	d v u h
dziękuje	dzj eo5 k u j e
wyprzedaże	v i2 p S e d a Z e
polach	p o l a h
raduje	r a d u j e
obitej	o b i t e j
prozaiczne	p r o z a i tS n e
arcydziełem	a r c i2 dzj e w e m
sypkie	s i2 p k i e
orderu	o r d e r u
al-afghani	a l a f g h a n i
nieruchomego	n i e r u h o m e g o
dziękowali	dzj eo5 k o v a l j
wytrwałych	v i2 t r v a w i2 h
miejscem	m i e j s c e m
szans	S a n s
wszystko	v S i2 s t k o
okazało	o k a z a w o
przekraczają	p S e k r a tS a j oc5
wyrażające	v i2 r a Z a j oc5 c e
instalowany	i n s t a l o v a n i2
księciem	k sj eo5 tsj e m
studenci	s t u d e n tsj i
pewność	p e v n o sj tsj
fizycznego	f i z i2 tS n e g o
mąkę	m oc5 k e
odnośnik	o d n o sj n i k
odróżnieniu	o d r u Z n i e n i u
room	r o o m
półwysep	p u w v i2 s e p
rzekę	Z e k e
al-jihad	a l j j h a d
głowie	g w o v i e
wszechistnienie	v S e h i s t n i e n i e
leżał	l e Z a w
wielokroć	v i e l o k r o tsj
9	eo5 tsj
rozpocząłeś	r o z p o tS oc5 w e sj
zerwał	z e r v a w
berenta	b e r e n t a
konsekwencje	k o n s e k f e n c j e
pojawiać	p o j a v i a tsj
kilkunastu	k i l k u n a s t u
płakałam	p w a k a w a m
życzliwemu	Z i2 tS l j v e m u
kilogramów	k i l o g r a m u v
wojciech	v o j tsj e h
waszą	v a S oc5
szpulowych	S p u l o v i2 h
tysiąc	t i2 tsj oc5 c
kinie	k i n i e
postaramy	p o s t a r a m i2
przedmiotów-	p S e d m i o t u v
zamieszczają	z a m i e S tS a j oc5
głośno	g w o sj n o
zainstalować	z a i n s t a l o v a tsj
pełnej	p e w n e j
oburącz	o b u r oc5 tS
makatek	m a k a t e k
całkowitego	c a w k o v i t e g o
poskramiającego	p o s k r a m i a j oc5 c e g o
bóg-	b u g e
ślubną	sj l u b n oc5
całemu	c a w e m u
światłu	sj v i a t w u
odwołując	o d v o w u j oc5 c
b-24	b e d tS t
pokłóciła	p o k w u tsj i w a
mały	m a w i2
striptiz	s t r j p t j z
byłby	b i2 w b i2
rzesze	Z e S e
umiem	u m i e m
najukochańsze	n a j u k o h a n~ S e
byli	b i2 l j
maksymy	m a k s i2 m i2
wrócić	v r u tsj i tsj
automatycznie	a u t o m a t i2 tS n i e
licząc	l j tS oc5 c
całkowitej	c a w k o v i t e j
zakładamy	z a k w a d a m i2
oniryczna	o n i r i2 tS n a
dźwiękowej	dzj v i eo5 k o v e j
zarys	z a r i2 s
dudniących	d u d n i oc5 c i2 h
ceglanymi	c e g l a n i2 m i
produkcję	p r o d u k c j e
byłeś	b i2 w e sj
jak	j a k
ją	j oc5
leży	l e Z i2
przyszedł	p S i2 S e d w
powinni	p o v i n n i
aktorką	a k t o r k oc5
dołączania	d o w oc5 tS a n i a
życzenia	Z i2 tS e n i a
porozmawiaj	p o r o z m a v i a j
czego	tS e g o
przyjaźniach	p S i2 j a zj n i a h
najwcześniejszy	n a j v tS e sj n i e j S i2
ukryte	u k r i2 t e
czułych	tS u w i2 h
dwa	d v a
bestsellerów	b e s t s e l l e r u v
osadzone	o s a dz o n e
piętnaście	p i eo5 t n a sj tsj e
krain	k r a i n
paolo	p a o l o
ulubiona	u l u b i o n a
nadzieję	n a dzj e j e
cenzorskich	c e n z o r s k i h
każdy	k a Z d i2
technologia	t e h n o l o g i a
dom	d o m
grudami	g r u d a m i
ujście	u j sj tsj e
elite	e l j t e
poza	p o z a
reguł	r e g u w
zwyczajnie	z v i2 tS a j n i e
ostro	o s t r o
ochoty	o h o t i2
warg	v a r g
oprzeć	o p S e tsj
eurydykę	e u r i2 d i2 k e
prawdą	p r a v d oc5
absolutny	a b s o l u t n i2
zasadza	z a s a dz a
wszystkich	v S i2 s t k i h
przecież	p S e tsj e S
katedr	k a t e d r
już	j u S
autorów	a u t o r u v
kręgach	k r eo5 g a h
sygnał	s i2 g n a w
zamieszczamy	z a m i e S tS a m i2
pozostawili	p o z o s t a v i l j
wypuścić	v i2 p u sj tsj i tsj
drugoligowy	d r u g o l j g o v i2
rozbudowanym	r o z b u d o v a n i2 m
palcami	p a l c a m i
bezprawia	b e z p r a v i a
sarabandę	s a r a b a n d e
tobą	t o b oc5
buckle'a	b u c k l e a
rękami	r eo5 k a m i
epp	e p p
iwo	i v o
dziś	dzj i sj
mnożenia	m n o Z e n i a
mniejsze	m n i e j S e
strażników	s t r a Z n i k u v
iluzyjnym	i l u z i2 j n i2 m
autentyczne	a u t e n t i2 tS n e
adorowali	a d o r o v a l j
długowłosych	d w u g o v w o s i2 h
momencie	m o m e n tsj e
ci	tsj i
autor	a u t o r
zapasowa	z a p a s o v a
znaków	z n a k u v
tajemnica	t a j e m n i c a
domową	d o m o v oc5
malezja	m a l e z j a
tę	t e
młotem	m w o t e m
organizmu	o r g a n i z m u
obszarów	o b S a r u v
kaset	k a s e t
pustą	p u s t oc5
błogosławiona	b w o g o s w a v i o n a
monako	m o n a k o
mała	m a w a
zł	z w
chrobrego	h r o b r e g o
maja	m a j a
wieczoru	v i e tS o r u
drewnianą	d r e v n i a n oc5
pomysł	p o m i2 s w
1918)-	v i eo5 t o o sj e
pragmatycznym	p r a g m a t i2 tS n i2 m
pisać	p i s a tsj
filmy	f i l m i2
pakietu	p a k i e t u
dobrem	d o b r e m
nadal	n a d a l
danie	d a n i e
dorównuje	d o r u v n u j e
lat-	l a t
korzystasz	k o Z i2 s t a S
obsesja	o b s e s j a
podtrzymuje	p o d t S i2 m u j e
powielać	p o v i e l a tsj
nbc	n b c
interwencji	i n t e r v e n c j i
historie	h j s t o r j e
